Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,Fraction,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,Fraction,ml,mAU
1.212876,1.097995,2.433397,0.58038,12.196364,0,,,,,,,1.220357,1.097263
1.220905,1.097263,2.449455,0.580462,12.276653,0,,,,,,,1.228386,1.096748
1.228934,1.096748,2.465514,0.580551,12.356941,0,,,,,,,1.236415,1.095725
1.236962,1.095725,2.481572,0.58066,12.43723,0,,,,,,,1.244443,1.096395
1.244991,1.096395,2.497631,0.580753,12.517518,0,,,,,,,1.252472,1.09744
1.25302,1.09744,2.513689,0.580829,12.597807,0,,,,,,,1.260501,1.097687
1.261048,1.097687,2.529748,0.580923,12.678095,0,,,,,,,1.268529,1.096423
1.269077,1.096423,2.545806,0.580994,12.758384,0,,,,,,,1.276558,1.096828
1.277106,1.096828,2.561864,0.581032,12.838673,0,,,,,,,1.284587,1.097252
1.285134,1.097252,2.577923,0.581098,12.918961,0,,,,,,,1.292615,1.097689
1.293163,1.097689,2.593981,0.581131,12.999249,0,,,,,,,1.300644,1.096987
1.301192,1.096987,2.61004,0.581223,13.079537,0,,,,,,,1.308673,1.096319
1.30922,1.096319,2.626098,0.581354,13.159826,0,,,,,,,1.316701,1.095858
1.317249,1.095858,2.642157,0.581461,13.240114,0,,,,,,,1.32473,1.095477
1.325278,1.095477,2.658215,0.581414,13.320403,0,,,,,,,1.332759,1.095279
1.333306,1.095279,2.674273,0.581576,13.400691,0,,,,,,,1.340787,1.096321
1.341335,1.096321,2.690332,0.581779,13.48098,0,,,,,,,1.348816,1.097927
1.349364,1.097927,2.70639,0.581922,13.561268,0,,,,,,,1.356845,1.097879
1.357392,1.097879,2.722449,0.58202,13.641557,0,,,,,,,1.364873,1.09825
1.365421,1.09825,2.738507,0.582086,13.721846,0,,,,,,,1.372902,1.098833
1.37345,1.098833,2.754565,0.582146,13.802134,0,,,,,,,1.380931,1.099647
1.381478,1.099647,2.770624,0.582207,13.882422,0,,,,,,,1.388959,1.10018
1.389507,1.10018,2.786682,0.582263,13.96271,0,,,,,,,1.396988,1.10151
1.397536,1.10151,2.802741,0.582319,14.042999,0,,,,,,,1.405017,1.102262
1.405564,1.102262,2.818799,0.582384,14.123287,0,,,,,,,1.413045,1.102653
1.413593,1.102653,2.834857,0.582463,14.203576,0,,,,,,,1.421074,1.103143
1.421622,1.103143,2.850916,0.582541,14.283864,0,,,,,,,1.429103,1.103498
1.42965,1.103498,2.866974,0.582611,14.364153,0,,,,,,,1.437131,1.104142
1.437679,1.104142,2.883033,0.582668,14.444441,0,,,,,,,1.44516,1.105697
1.445708,1.105697,2.899091,0.582719,14.52473,0,,,,,,,1.453189,1.105084
1.453736,1.105084,2.915149,0.582763,14.605019,0,,,,,,,1.461217,1.105221
1.461765,1.105221,2.931208,0.582829,14.685307,0,,,,,,,1.469246,1.103595
1.469794,1.103595,2.947266,0.582858,14.765595,0,,,,,,,1.477275,1.103958
1.477822,1.103958,2.963325,0.582895,14.845883,0,,,,,,,1.485303,1.104142
1.485851,1.104142,2.979383,0.582952,14.926172,0,,,,,,,1.493332,1.103605
1.49388,1.103605,2.995441,0.582983,15.00646,0,,,,,,,1.501361,1.103849
1.501908,1.103849,3.0115,0.583001,15.086749,0,,,,,,,1.509389,1.103914
1.509937,1.103914,3.027558,0.583021,15.167037,0,,,,,,,1.517418,1.103703
1.517966,1.103703,3.043617,0.583043,15.247326,0,,,,,,,1.525447,1.103891
1.525994,1.103891,3.059675,0.583114,15.327614,0,,,,,,,1.533475,1.104289
1.534023,1.104289,3.075734,0.583169,15.407903,0,,,,,,,1.541504,1.104257
1.542052,1.104257,3.091792,0.583223,15.488192,0,,,,,,,1.549533,1.103064
1.55008,1.103064,3.10785,0.583259,15.56848,0,,,,,,,1.557561,1.101665
1.558109,1.101665,3.123909,0.583305,15.648768,0,,,,,,,1.56559,1.101492
1.566138,1.101492,3.139967,0.58334,15.729056,0,,,,,,,1.573619,1.101182
1.574166,1.101182,3.156026,0.583383,15.809345,0,,,,,,,1.581647,1.100081
1.582195,1.100081,3.172084,0.583456,15.889633,0,,,,,,,1.589676,1.099561
1.590224,1.099561,3.188142,0.583525,15.969922,0,,,,,,,1.597705,1.098873
1.598252,1.098873,3.204201,0.583557,16.050211,0,,,,,,,1.605733,1.098152
1.606281,1.098152,3.220259,0.583578,16.130499,0,,,,,,,1.613762,1.098359
1.61431,1.098359,3.236318,0.583603,16.210787,0,,,,,,,1.621791,1.098225
1.622338,1.098225,3.252376,0.58361,16.291077,0,,,,,,,1.629819,1.097659
1.630367,1.097659,3.268435,0.583621,16.371365,0,,,,,,,1.637848,1.096925
1.638396,1.096925,3.284493,0.583646,16.451653,0,,,,,,,1.645877,1.097024
1.646424,1.097024,3.300551,0.583684,16.53194,0,,,,,,,1.653905,1.096632
1.654453,1.096632,3.31661,0.5837,16.61223,0,,,,,,,1.661934,1.096038
1.662482,1.096038,3.332668,0.583717,16.692518,0,,,,,,,1.669963,1.095214
1.67051,1.095214,3.348727,0.58376,16.772806,0,,,,,,,1.677991,1.096612
1.678539,1.096612,3.364785,0.583853,16.853094,0,,,,,,,1.68602,1.097806
1.686568,1.097806,3.380843,0.58387,16.933384,0,,,,,,,1.694049,1.09705
1.694596,1.09705,3.396902,0.583921,17.013672,0,,,,,,,1.702077,1.097275
1.702625,1.097275,3.41296,0.583983,17.09396,0,,,,,,,1.710106,1.096596
1.710654,1.096596,3.429018,0.58404,17.17425,0,,,,,,,1.718135,1.097049
1.718682,1.097049,3.445077,0.584088,17.254538,0,,,,,,,1.726163,1.09769
1.726711,1.09769,3.461135,0.584143,17.334826,0,,,,,,,1.734192,1.09749
1.73474,1.09749,3.477194,0.584208,17.415113,0,,,,,,,1.742221,1.097034
1.742768,1.097034,3.493252,0.584302,17.495403,0,,,,,,,1.750249,1.097339
1.750797,1.097339,3.50931,0.584416,17.575691,0,,,,,,,1.758278,1.098107
1.758826,1.098107,3.525369,0.584519,17.655979,0,,,,,,,1.766307,1.098237
1.766854,1.098237,3.541427,0.584656,17.736267,0,,,,,,,1.774335,1.098433
1.774883,1.098433,3.557486,0.58484,17.816557,0,,,,,,,1.782364,1.098931
1.782912,1.098931,3.573544,0.585029,17.896845,0,,,,,,,1.790393,1.098866
1.79094,1.098866,3.589603,0.585289,17.977133,0,,,,,,,1.798421,1.09885
1.798969,1.09885,3.605661,0.585572,18.057423,0,,,,,,,1.80645,1.099192
1.806998,1.099192,3.621719,0.585849,18.137711,0,,,,,,,1.814479,1.099393
1.815026,1.099393,3.637778,0.58616,18.217999,0,,,,,,,1.822507,1.098517
1.823055,1.098517,3.653836,0.586502,18.298286,0,,,,,,,1.830536,1.097807
1.831084,1.097807,3.669895,0.586894,18.378576,0,,,,,,,1.838565,1.097683
1.839112,1.097683,3.685953,0.587367,18.458864,0,,,,,,,1.846593,1.097278
1.847141,1.097278,3.702012,0.587808,18.539152,0,,,,,,,1.854622,1.097301
1.85517,1.097301,3.71807,0.588268,18.61944,0,,,,,,,1.862651,1.096891
1.863198,1.096891,3.734128,0.588944,18.69973,0,,,,,,,1.870679,1.098075
1.871227,1.098075,3.750187,0.589622,18.780018,0,,,,,,,1.878708,1.097982
1.879256,1.097982,3.766245,0.590321,18.860306,0,,,,,,,1.886737,1.097219
1.887284,1.097219,3.782304,0.591103,18.940596,0,,,,,,,1.894765,1.096778
1.895313,1.096778,3.798362,0.591934,19.020884,0,,,,,,,1.902794,1.097167
1.903342,1.097167,3.81442,0.592784,19.101171,0,,,,,,,1.910823,1.096884
1.91137,1.096884,3.830479,0.593683,19.181459,0,,,,,,,1.918851,1.097542
